condicao_corporal,historico_taxa_prenhez,intervalo_pos_parto_dias,num_partos_anteriores,dias_desde_ultima_ins,dep_fertilidade_animal,especie,raca_femea,tipo_inseminacao,protocolo_hormonal,temperatura_ambiente_c,estacao,dep_acuracia,coeficiente_endogamia,prenha
4.0,0.6672,168,0,33,2.7,BOVINO,Nelore,IATF,IATF 7 dias,37.4,SECA,0.7,0.02,0
2.0,0.18,41,1,14,5.1,BOVINO,Simmental,IATF,Crestar,33.9,CHUVOSA,0.81,0.0094,0
3.5,0.94,92,2,99,9.2,BOVINO,Nelore,IATF,P4+EB 7 dias,25.4,CHUVOSA,0.73,0.0428,1
4.0,0.6259,157,4,94,5.5,CAPRINO,Canindé,IA_CONVENCIONAL,IA_CONVENCIONAL,39.5,CHUVOSA,0.7,0.02,1
3.0,0.6672,168,0,10,6.6,BOVINO,Tabapuã,IA_CONVENCIONAL,IA_CONVENCIONAL,22.6,CHUVOSA,0.7,0.02,1
4.0,0.6672,168,0,32,6.0,BOVINO,Tabapuã,IATF,P4+BE+PGF,36.9,SECA,0.7,0.02,1
4.0,0.6672,168,0,47,8.0,BOVINO,Brahman,IA_CONVENCIONAL,IA_CONVENCIONAL,38.7,SECA,0.7,0.02,1
3.5,0.85,122,2,179,11.9,BOVINO,Guzerá,IATF,P4+EB 7 dias,33.7,SECA,0.23,0.06,1
3.5,0.2,48,0,82,5.7,OVINO,Somalis Brasileira,IA_CONVENCIONAL,IA_CONVENCIONAL,34.5,SECA,0.51,0.1143,0
2.0,0.6259,157,0,86,5.6,CAPRINO,Toggenburg,IATF,Resynch,25.5,SECA,0.7,0.02,1
4.0,0.5726,236,4,66,3.9,OVINO,Texel,IA_CONVENCIONAL,IA_CONVENCIONAL,31.0,SECA,0.7,0.02,0
4.0,0.6672,168,0,59,8.3,BOVINO,Brahman,IATF,IATF 7 dias,20.5,SECA,0.7,0.02,0
4.5,0.63,75,2,64,7.8,BOVINO,Tabapuã,IATF,OvSynch,23.8,SECA,0.64,0.0448,1
3.0,0.84,64,5,57,6.5,BOVINO,Guzerá,IA_CONVENCIONAL,IA_CONVENCIONAL,34.1,CHUVOSA,0.91,0.0297,1
3.5,0.81,92,1,169,6.1,BOVINO,Nelore,IATF,OvSynch,23.2,SECA,0.7,0.06,1
2.0,0.06,33,4,5,8.2,BOVINO,Guzerá,IATF,P4+EB 7 dias,28.1,CHUVOSA,0.46,0.0095,0
4.0,0.6672,97,1,15,7.2,BOVINO,Guzerá,IA_CONVENCIONAL,IA_CONVENCIONAL,27.2,CHUVOSA,0.7,0.02,1
4.0,0.6672,168,0,67,6.4,BOVINO,Gir,IATF,Select Synch,21.6,CHUVOSA,0.7,0.02,1
4.0,0.6672,168,0,90,5.8,BOVINO,Sindi,IA_CONVENCIONAL,IA_CONVENCIONAL,25.0,SECA,0.7,0.02,1
3.5,0.65,95,1,45,5.7,CAPRINO,Boer,IATF,P4+EB 7 dias,31.0,SECA,0.86,0.0395,1
3.0,0.6259,157,0,55,7.5,CAPRINO,Moxotó,IA_CONVENCIONAL,IA_CONVENCIONAL,19.0,CHUVOSA,0.7,0.02,1
3.0,0.7,55,3,22,9.4,BOVINO,Nelore,IATF,OvSynch,25.7,SECA,0.42,0.06,1
3.0,0.6259,89,1,5,8.6,CAPRINO,Repartida,IATF,Sem protocolo,32.3,SECA,0.7,0.02,0
2.0,0.6672,168,0,51,6.9,BOVINO,Nelore,IATF,P4+EB,26.6,CHUVOSA,0.7,0.02,1
4.0,0.6259,68,2,27,4.4,CAPRINO,Saanen,IA_CONVENCIONAL,IA_CONVENCIONAL,38.9,SECA,0.7,0.02,1
3.0,0.33,28,3,135,5.2,OVINO,Morada Nova,IA_CONVENCIONAL,IA_CONVENCIONAL,22.4,CHUVOSA,0.62,0.2118,0
4.0,0.6259,157,0,69,7.5,CAPRINO,Toggenburg,IA_CONVENCIONAL,IA_CONVENCIONAL,26.2,CHUVOSA,0.7,0.02,0
3.0,0.76,109,4,156,6.2,CAPRINO,Anglo-nubiano,IATF,P4+EB 7 dias,27.1,CHUVOSA,0.86,0.0108,1
4.0,0.82,62,2,77,7.3,CAPRINO,Anglo-nubiano,IATF,P4+EB 7 dias,23.6,SECA,0.81,0.0502,1
3.0,0.68,69,3,144,10.9,CAPRINO,Anglo-nubiano,IA_CONVENCIONAL,IA_CONVENCIONAL,23.4,CHUVOSA,0.6,0.0161,1
2.0,0.66,30,0,2,7.4,OVINO,Suffolk,IATF,OvSynch,30.8,CHUVOSA,0.53,0.0058,0
3.0,0.6259,157,0,37,4.7,CAPRINO,Repartida,IA_CONVENCIONAL,IA_CONVENCIONAL,36.6,CHUVOSA,0.7,0.02,0
3.5,0.81,57,2,76,11.0,OVINO,Suffolk,IA_CONVENCIONAL,IA_CONVENCIONAL,28.1,SECA,0.88,0.0041,1
5.0,0.6672,168,0,19,7.5,BOVINO,Gir,IATF,GnRH+PGF2α,35.1,CHUVOSA,0.7,0.02,0
3.0,0.43,89,3,101,7.7,CAPRINO,Saanen,IA_CONVENCIONAL,IA_CONVENCIONAL,25.6,SECA,0.77,0.0042,1
3.0,0.6672,168,0,23,4.0,BOVINO,Brahman,IA_CONVENCIONAL,IA_CONVENCIONAL,25.8,SECA,0.7,0.02,1
5.0,0.6672,168,0,13,4.2,BOVINO,Brahman,IA_CONVENCIONAL,IA_CONVENCIONAL,26.0,CHUVOSA,0.7,0.02,1
3.5,0.63,76,1,80,7.6,BOVINO,Nelore,IATF,Crestar,23.3,SECA,0.74,0.06,1
3.0,0.6259,157,0,73,5.6,CAPRINO,Boer,IATF,Ovsynch,24.2,SECA,0.7,0.02,1
3.0,0.6672,84,1,22,8.5,BOVINO,Tabapuã,IA_CONVENCIONAL,IA_CONVENCIONAL,36.4,SECA,0.7,0.02,1
3.5,0.62,71,2,149,7.3,CAPRINO,Boer,IATF,P4+EB 7 dias,30.2,SECA,0.4,0.0348,1
4.0,0.47,78,3,82,7.9,BOVINO,Gir,IATF,Crestar,27.3,SECA,0.71,0.015,1
3.5,0.7,84,1,80,6.3,BOVINO,Simmental,IATF,OvSynch,24.9,SECA,0.86,0.0109,1
3.0,1.0,69,3,178,6.8,CAPRINO,Anglo-nubiano,IATF,CIDR+GnRH,23.3,CHUVOSA,0.63,0.06,1
4.0,0.6259,157,0,42,5.8,CAPRINO,Canindé,IA_CONVENCIONAL,IA_CONVENCIONAL,35.9,CHUVOSA,0.7,0.02,1
3.0,0.6672,241,4,86,5.9,BOVINO,Gir,IA_CONVENCIONAL,IA_CONVENCIONAL,27.8,SECA,0.7,0.02,1
4.0,0.6672,168,0,39,7.4,BOVINO,Nelore,IA_CONVENCIONAL,IA_CONVENCIONAL,27.7,SECA,0.7,0.02,1
3.0,0.5726,291,3,73,4.0,OVINO,Dorper,IATF,Select Synch,18.7,SECA,0.7,0.02,0
4.0,0.6672,168,0,101,7.4,BOVINO,Canchim,IA_CONVENCIONAL,IA_CONVENCIONAL,35.2,SECA,0.7,0.02,0
4.0,0.78,83,4,134,6.0,BOVINO,Gir,IA_CONVENCIONAL,IA_CONVENCIONAL,24.0,CHUVOSA,0.66,0.0496,1
4.0,0.76,75,4,152,4.3,BOVINO,Brahman,IATF,CIDR+GnRH,23.9,CHUVOSA,0.83,0.0046,1
4.0,0.29,64,4,170,3.3,OVINO,Dorper,IA_CONVENCIONAL,IA_CONVENCIONAL,35.2,SECA,0.5,0.0379,0
3.0,0.9,84,3,173,10.3,OVINO,Dorper,IATF,OvSynch,25.5,SECA,0.82,0.0217,1
